epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3323.02,0.89412,0.52312,0.90353,0.90108,0.85786,0.90669,0.65189,0.91782,0.50525,0.90574,0.0021145,0.0021145,0.0021145
89,3360.09,0.8948,0.524,0.90536,0.903,0.85854,0.90793,0.65652,0.90397,0.4998,0.90205,0.00208133,0.00208133,0.00208133
90,3397.04,0.89214,0.52411,0.90485,0.90188,0.85908,0.90754,0.65458,0.90868,0.50178,0.90316,0.00204817,0.00204817,0.00204817
91,3434.35,0.88818,0.52146,0.90257,0.90149,0.85841,0.90702,0.65347,0.91366,0.50375,0.90409,0.002015,0.002015,0.002015
92,3472.39,0.8816,0.51802,0.90106,0.90418,0.85801,0.90762,0.65539,0.90792,0.50148,0.90279,0.00198183,0.00198183,0.00198183
93,3509.69,0.88354,0.51935,0.90163,0.90321,0.85984,0.90814,0.65551,0.90741,0.50072,0.90271,0.00194867,0.00194867,0.00194867
94,3547.14,0.88552,0.51608,0.89849,0.90165,0.86157,0.90853,0.65695,0.90338,0.49842,0.90157,0.0019155,0.0019155,0.0019155
95,3585.45,0.87616,0.51436,0.90191,0.90419,0.85938,0.90788,0.65563,0.90786,0.49948,0.90273,0.00188233,0.00188233,0.00188233
96,3622.59,0.8825,0.51695,0.90073,0.90321,0.8593,0.90783,0.6546,0.91046,0.50032,0.9034,0.00184917,0.00184917,0.00184917
97,3660.26,0.87126,0.5129,0.8975,0.90257,0.86107,0.90828,0.65613,0.90611,0.4988,0.90242,0.001816,0.001816,0.001816
98,3696.91,0.87508,0.51307,0.89958,0.9039,0.85949,0.90796,0.65493,0.9092,0.49918,0.90319,0.00178283,0.00178283,0.00178283
99,3734.85,0.87103,0.51271,0.89878,0.90424,0.86207,0.90914,0.65824,0.90192,0.49642,0.90189,0.00174967,0.00174967,0.00174967
100,3772.87,0.87574,0.51486,0.89988,0.90534,0.86067,0.90951,0.65871,0.90128,0.49627,0.9014,0.0017165,0.0017165,0.0017165
101,3810.29,0.8702,0.51072,0.89344,0.90538,0.86144,0.90954,0.65963,0.8977,0.4952,0.90046,0.00168333,0.00168333,0.00168333
102,3847.73,0.8686,0.51054,0.90016,0.90341,0.86219,0.90935,0.65882,0.90162,0.49631,0.90128,0.00165017,0.00165017,0.00165017
103,3885.75,0.86671,0.50926,0.89778,0.90371,0.86245,0.90929,0.65729,0.90554,0.49711,0.90227,0.001617,0.001617,0.001617
104,3923.49,0.86464,0.50707,0.89547,0.90308,0.86274,0.90924,0.65679,0.90626,0.49729,0.90248,0.00158383,0.00158383,0.00158383
105,3960.65,0.86563,0.50803,0.89768,0.90387,0.86355,0.90972,0.65921,0.90039,0.49507,0.90084,0.00155067,0.00155067,0.00155067
106,3997.5,0.85626,0.50597,0.89592,0.90418,0.86294,0.90993,0.65922,0.90064,0.4949,0.90116,0.0015175,0.0015175,0.0015175
107,4034.48,0.85917,0.50424,0.89605,0.90567,0.8625,0.91009,0.65991,0.89903,0.4941,0.90091,0.00148433,0.00148433,0.00148433
108,4071.41,0.85494,0.50184,0.89505,0.90529,0.86261,0.91016,0.65989,0.89908,0.49427,0.90109,0.00145117,0.00145117,0.00145117
109,4109.2,0.8533,0.50252,0.89236,0.90448,0.86367,0.9102,0.66048,0.89805,0.49374,0.90096,0.001418,0.001418,0.001418
110,4146.74,0.85732,0.50524,0.89656,0.9036,0.86428,0.91014,0.65946,0.90123,0.49454,0.90189,0.00138483,0.00138483,0.00138483
111,4184.03,0.85538,0.50509,0.89423,0.90516,0.86358,0.91049,0.65951,0.90138,0.49449,0.90203,0.00135167,0.00135167,0.00135167
112,4221.62,0.84957,0.50134,0.89337,0.90539,0.86447,0.911,0.66039,0.89957,0.49374,0.90173,0.0013185,0.0013185,0.0013185
113,4258.68,0.85423,0.50191,0.89444,0.90518,0.86409,0.91076,0.65968,0.9009,0.49386,0.902,0.00128533,0.00128533,0.00128533
114,4297.12,0.85055,0.50186,0.89132,0.90465,0.86446,0.91072,0.65933,0.90194,0.49406,0.90212,0.00125217,0.00125217,0.00125217
115,4335.63,0.84723,0.49897,0.89242,0.90504,0.86481,0.9109,0.66004,0.90048,0.49359,0.90175,0.001219,0.001219,0.001219
116,4372.61,0.84277,0.49774,0.89306,0.90512,0.86514,0.91115,0.66001,0.89978,0.49338,0.90157,0.00118583,0.00118583,0.00118583
117,4410.04,0.84814,0.49834,0.89162,0.9059,0.86486,0.91134,0.6598,0.90051,0.49338,0.90155,0.00115267,0.00115267,0.00115267
118,4447.62,0.83895,0.49684,0.89182,0.90642,0.86423,0.91136,0.66048,0.8996,0.49273,0.90135,0.0011195,0.0011195,0.0011195
119,4485.44,0.83865,0.49351,0.8914,0.90638,0.86434,0.91139,0.66063,0.89934,0.49288,0.90136,0.00108633,0.00108633,0.00108633
120,4523.05,0.83816,0.49189,0.89114,0.90691,0.86395,0.91144,0.66118,0.89731,0.49203,0.90096,0.00105317,0.00105317,0.00105317
121,4560.37,0.83503,0.49077,0.88923,0.90646,0.86465,0.91168,0.66136,0.89747,0.49181,0.90096,0.00102,0.00102,0.00102
122,4597.77,0.83009,0.48984,0.88781,0.90741,0.86419,0.91183,0.66141,0.8975,0.49158,0.90098,0.000986833,0.000986833,0.000986833
123,4634.8,0.82575,0.48523,0.88779,0.90731,0.86401,0.91177,0.66174,0.89654,0.49098,0.90061,0.000953667,0.000953667,0.000953667
124,4671.84,0.83469,0.49088,0.88948,0.90673,0.86393,0.9116,0.66152,0.8972,0.4913,0.90081,0.0009205,0.0009205,0.0009205
125,4709.41,0.82944,0.48765,0.88918,0.90696,0.86432,0.91175,0.66157,0.89715,0.49094,0.90078,0.000887333,0.000887333,0.000887333
126,4747.09,0.82776,0.48761,0.88715,0.90702,0.86448,0.91164,0.66145,0.89711,0.4909,0.9007,0.000854167,0.000854167,0.000854167
127,4785.68,0.82711,0.48825,0.88696,0.90662,0.86421,0.91152,0.66077,0.89815,0.49118,0.90095,0.000821,0.000821,0.000821
128,4822.73,0.82251,0.48711,0.8894,0.9067,0.86477,0.91171,0.66122,0.89742,0.49092,0.90086,0.000787833,0.000787833,0.000787833
129,4859.6,0.82058,0.48345,0.88539,0.90694,0.86459,0.9118,0.66171,0.8964,0.49042,0.90053,0.000754667,0.000754667,0.000754667
130,4896.74,0.8247,0.48671,0.88755,0.9069,0.86473,0.91182,0.66162,0.89673,0.49042,0.90068,0.0007215,0.0007215,0.0007215
131,4934.06,0.81734,0.48378,0.88598,0.90624,0.86485,0.91168,0.66098,0.89815,0.49077,0.90104,0.000688333,0.000688333,0.000688333
132,4971.39,0.81735,0.48169,0.88559,0.90671,0.86537,0.91173,0.66166,0.89649,0.49027,0.90073,0.000655167,0.000655167,0.000655167
133,5009.74,0.81593,0.48303,0.88628,0.90688,0.86526,0.91196,0.66206,0.89571,0.49002,0.90059,0.000622,0.000622,0.000622
134,5046.92,0.81609,0.48102,0.88378,0.90702,0.86552,0.91203,0.66202,0.8958,0.48995,0.90063,0.000588833,0.000588833,0.000588833
135,5084.21,0.81507,0.48099,0.88746,0.90684,0.86555,0.91208,0.66172,0.89652,0.49002,0.90085,0.000555667,0.000555667,0.000555667
136,5121.84,0.8109,0.48034,0.88509,0.90706,0.86512,0.91192,0.66182,0.89639,0.48988,0.90087,0.0005225,0.0005225,0.0005225
137,5159.24,0.8095,0.47828,0.88692,0.9083,0.86446,0.91229,0.66234,0.89488,0.48926,0.90053,0.000489333,0.000489333,0.000489333
138,5196.64,0.8056,0.47579,0.88278,0.90835,0.86405,0.9122,0.66156,0.89697,0.49001,0.9011,0.000456167,0.000456167,0.000456167
139,5234.44,0.80403,0.47608,0.88479,0.90887,0.86426,0.91243,0.66249,0.89474,0.489,0.90056,0.000423,0.000423,0.000423
140,5271.61,0.7997,0.47457,0.88292,0.90842,0.86495,0.91254,0.66253,0.89485,0.48904,0.90059,0.000389833,0.000389833,0.000389833
141,5316.09,0.75369,0.43688,0.85952,0.90859,0.86454,0.91228,0.66207,0.89597,0.48938,0.90085,0.000356667,0.000356667,0.000356667
142,5351.88,0.7146,0.41773,0.85302,0.90915,0.86463,0.91256,0.66291,0.89374,0.48861,0.9004,0.0003235,0.0003235,0.0003235
143,5388.08,0.71575,0.41666,0.85268,0.90957,0.86427,0.91243,0.66265,0.89456,0.48875,0.90058,0.000290333,0.000290333,0.000290333
144,5424.22,0.71246,0.41511,0.85442,0.90925,0.86507,0.91268,0.66347,0.89211,0.48774,0.90004,0.000257167,0.000257167,0.000257167
145,5460.07,0.70006,0.40847,0.85004,0.90954,0.86517,0.91265,0.66335,0.89282,0.48786,0.90024,0.000224,0.000224,0.000224
146,5496.69,0.70201,0.41137,0.8535,0.91007,0.86557,0.91303,0.66429,0.8902,0.48685,0.89961,0.000190833,0.000190833,0.000190833
147,5532.68,0.6972,0.40817,0.85052,0.91002,0.86552,0.91289,0.66389,0.89089,0.4869,0.89991,0.000157667,0.000157667,0.000157667
148,5569.45,0.69038,0.40512,0.85015,0.91008,0.86615,0.91305,0.66436,0.88979,0.4864,0.89969,0.0001245,0.0001245,0.0001245
149,5606.35,0.70045,0.41174,0.85566,0.9098,0.86646,0.9131,0.66473,0.88915,0.48614,0.89961,9.13333e-05,9.13333e-05,9.13333e-05
150,5642.32,0.6893,0.405,0.84891,0.90974,0.86652,0.91318,0.66478,0.88939,0.48592,0.8997,5.81667e-05,5.81667e-05,5.81667e-05
